set	title	curated_for_array	platforms_publishing	n_platforms	role	source	citation
PMD	Partially methylated domains	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	Zhou lab PMD coordinates	Zhou et al. 2018, Nat Genet, doi:10.1038/s41588-018-0073-4
ProbeCGnum	CpGs per probe	no	MSA	1	biological	Infinium platform manifest	--
ProbeType	Probe type	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	design/QC control	Infinium platform manifest	--
REMCChromHMM	Chromatin states, Roadmap	no	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	NIH Roadmap Epigenomics, coreMarks hg38lift	Roadmap Epigenomics Consortium 2015, Nature, doi:10.1038/nature14248
RoadMapNegGeneExpCpG	CpGs negatively correlated with expression	no	MSA	1	biological	Roadmap methylation-expression correlation	Roadmap Epigenomics Consortium 2015, Nature, doi:10.1038/nature14248
RoadMapPosGeneExpCpG	CpGs positively correlated with expression	no	MSA	1	biological	Roadmap methylation-expression correlation	Roadmap Epigenomics Consortium 2015, Nature, doi:10.1038/nature14248
TFBSrm	Transcription factor binding sites, ReMap	no	EPIC;EPICv2;MSA;HM450	4	biological	ReMap 2022, non-redundant MACS2 peaks	Hammal et al. 2022, Nucleic Acids Res, doi:10.1093/nar/gkab996
Tetranuc2	Tetranucleotide context	no	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	Derived from the reference genome	Zhou et al. 2018, Nat Genet, doi:10.1038/s41588-018-0073-4
TiSigBLUEPRINT	Tissue signatures, blood	no	MSA	1	biological	BLUEPRINT Epigenome WGBS	Stunnenberg et al. 2016, Cell, doi:10.1016/j.cell.2016.11.007
TiSigBrain	Tissue signatures, brain	no	MSA	1	biological	Combined brain single-cell DNAm signatures. The upstream atlas is not recorded; the likely source is Luo et al. 2017, Science, doi:10.1126/science.aan3351 (single-neuron methylomes, 21 human and 16 mouse subtypes) -- treat that as unconfirmed.	?
TiSigLoyfer	Tissue signatures, Loyfer atlas	yes	MSA	1	biological	Loyfer human methylome atlas, sorted-cell WGBS	Loyfer et al. 2023, Nature, doi:10.1038/s41586-022-05580-6
XCILinkedWGBSSorted	X-inactivation linked, sorted cells	no	MSA	1	biological	Sorted-cell WGBS, MSA design work	--
nFlankCG	Flanking CpG density	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	design/QC control	Derived from the CpG reference and genome	--
rmsk1	Repeats, class	yes	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	UCSC RepeatMasker track	Smit, Hubley & Green, RepeatMasker (repeatmasker.org)
rmsk2	Repeats, family	no	EPIC;EPICv2;MSA;HM450;HM27;Mammal40	6	biological	UCSC RepeatMasker track	Smit, Hubley & Green, RepeatMasker (repeatmasker.org)
